Judul Lagu,Lirik
Putri Kristya – Ego,pangapuranen aku tulus ojo pekso bendo mung golek salahanmu aku cen klera kleru nresnani sliramu aku alah aku aku lah bar nesun ojo bubar raemanem nibo tangi kabeh lakoni aku dar luwih milih bertah sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo kudu iso tok pertimbangk ten ojo waton gaw putus kudu iso tok pertimbangk ten ojo waton gaw putus bar nesun ojo bubar raemanem nibo tangi kabeh lakoni aku dar luwih milih bertah sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo masalah dowo
Mala Agatha – Cidro 2,durung anti garg catu atiku tegotegon sliramu nambahi loro batku aku percoyo kabeh nyoto cetho arep moto sliramu cidro panaspanas srengeng uliti awak seh panas rasang ati nyawang dade lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu aku percoyo kabeh nyoto cetho arep moto sliramu cidro panaspanas srengeng uliti awak seh panas rasang ati nyawang dade lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu pancen uwis nasibku kudu pisah awakmu
Ilux – Lemah Teles (feat. Woro Widowati),kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales jujur ati loro durung iso nompo nyata tandur sirami malih dadi awu ireng obong kahan mbiyen janji bareng bareng erasakk susah neng iki kow medotk angen angen kuatk ati kudu lang kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales mbiyen janji bareng bareng erasakk susah neng iki kow medotk angen angen kuatk ati kudu lang kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales lemah teles gusti bakal bales
Esa Risty – Raiso Dadi Siji (feat. Sischo Funkot),aku tres ro kow tres seng tenan kabeh k’k ro kow atine naj aku nduw bojo seng tenan aku tresnon yo mung ro kow roso ati ra tenang mikirk lgkuh tansah awang awang mabur koyo layang padahal bojo neng omah mikirk dadi susah seng kudu lakoni aku bgung ndiri pancen akoni tresnoku tengah mati tapi aku ra wani gkari janji suci mungk kow udu jodoku tapi aku yang padamu jujur soko jero atiku yang aku ikhlas trimo dadi seng loro nady abot roso tres seng songgo bar untoro yang aku yo berjuang ndadekk impi tenan mugo kabeh iso lancar buang kabeh nang ikhlas bar yang ccin elgker neng jari manisku janji yo ucap neng arep penghulu iki yo uwes telat arep omongk cidro aku mong ameh ndungo kow iso bahagio naj statusku iki dew tapi ojo anti leren tresnaku kow mugo mugo kabeh kei dal supoyo dadi padang anggon awak dew lek gendak’ yang aku ikhlas trimo dadi seng loro nady abot roso tres seng songgo bar untoro yang aku yo berjuang ndadekk impi tenan mugo kabeh iso lancar buang kabeh nang ikhlas bar yang ccin elgker neng jari manisku janji yo ucap neng arep penghulu iki yo uwes telat arep omongk cidro aku mong ameh ndungo kow iso bahagio naj statusku iki dew tapi ojo anti leren tresnaku kow mugo mugo kabeh kei dal supoyo dadi padang anggon awak dew lek gendak’ yang aku ikhlas trimo dadi seng loro nady abot roso tres seng songgo bar untoro yang aku yo berjuang ndadekk impi tenan mugo kabeh iso lancar buang kabeh nang ikhlas bar yang aku mung iso nerimo kow gon wong liyo tres raiso peksa aku tetep yang kow tekan lawas aku bahagia nyawang kow tanganku ono ccin janji tio suci aku raiso nepati kow pancen tresnani biyen tek iki tapi raiso dadi siji tapi raiso dadi siji
Intan Chaca – Madiun Ngawi,termal madiun awi nanganku bakal aku elalekk mbiyen aku nduw pacar anak pak tukir bakul pecel ono pggir prapat termal madiun awi gen dolanku bakal aku elalekk mbiyen jam semono kow janji aku nyatan kow gkari janjimu aku kangen kangen sliramu wangsawang fotomu dompetku aku kangen kangen sliramu eluselus fotomu dompetku kow ra kroso bat ben dino ra bakal ilang fotomu dompetku kow ra kroso bat ben dino ra bakal ilang jenengmu atiku termal madiun awi nanganku bakal aku elalekk mbiyen aku nduw pacar anak pak tukir bakul pecel ono pggir prapat termal madiun awi gen dolanku bakal aku elalekk mbiyen jam semono kow janji aku nyatan kow gkari janjimu aku kangen kangen sliramu wangsawang fotomu dompetku aku kangen kangen sliramu eluselus fotomu dompetku kow ra kroso bat ben dino ra bakal ilang fotomu dompetku kow ra kroso bat ben dino ra bakal ilang jenengmu atiku
Yeni Inka – Mangku Purel,mangku purel neng karaoke ndemek pupu mpai munggah neng meru mangku purel dudu penggawe luweh pentg mikiro masa depanmu kow lali omah uli uli nengan dol neng karaoke andengi penyanyi cukup siji cekelan botol polah koyo wong tolol ndang balio neng omah bojomu enteni popo bakal seneni pentg kow jujur janji ra mbaleni gek ndang map turu sok isuk nam pagi aku nat kondo awakmu ojo terus begitu spaho janji atimu siji loro telu mangku purel neng karaoke ndemek pupu mpai munggah neng meru mangku purel dudu penggawe luweh pentg mikiro masa depanmu ndang balio neng omah bojomu enteni popo bakal seneni pentg kow jujur janji ra mbaleni gek ndang map turu sok isuk nam pagi aku nat kondo awakmu ojo terus begitu spaho janji atimu siji loro telu mangku purel neng karaoke ndemek pupu mpai munggah neng meru mangku purel dudu penggawe luweh pentg mikiro masa depanmu mangku purel neng karaoke ndemek pupu mpai munggah neng meru mangku purel dudu penggawe luweh pentg mikiro masa depanmu luweh pentg mikiro masa depanmu
Lusiana Malala X The Celeng – Tau Tatu,kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio tatu hang bengen tau manggon nong ati nisun peren perih mageh roso hang gaw sun kuatir bakal balen maneng isun wedi di larani paribasan riko laks nyandg isun dadiyo ulan hang biso madangi isun siji hang sun jaluk nyang riko janji arep eliyo mergo ati tau loro kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio mergan durung isun tau tatu tau tatu paribasan riko laks nyandg isun dadiyo ulan hang biso madangi isun siji hang sun jaluk nyang riko janji arep eliyo mergo ati tau loro kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio mergan durung isun tau tatu tau tatu kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio mergan durung isun tau tatu tau tatu tau tatu
Dike Sabrina – Pambasilet,dua tahun ana sa tggal ana pigi bertah basiksa basiksa basiksa mati mati rasa rasa mo mati mo mati mo mati dua tahun ana sa tggal ana pigi bertah basiksa basiksa basiksa mati mati rasa rasa mo mati mo mati mo mati dua tahun ana sa tggal ana pigi bertah basiksa basiksa basiksa mati mati rasa rasa mo mati mo mati mo mati dua tahun ana sa tggal ana pigi bertah basiksa basiksa basiksa mati mati rasa rasa mo mati mo mati mo mati dua tahun ana sa tggal ana pigi bertah basiksa basiksa basiksa mati mati rasa rasa mo mati mo mati mo mati dua tahun ana sa tggal ana pigi bertah basiksa basiksa basiksa mati mati rasa rasa mo mati mo mati mo mati kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet kambg deng kambg mo baku dapa ayam ayam pam pam pambasilet mar ternyata batang memang sa curiga kalau torang dua suka main di belakang pam pam pambasilet
Lutfiana Dewi – Aku Cah Bakoh,bad pontang pantgk meh model piy kulo mung manut dalen gusti nentokn mboten ajeng mbat kulo tasih kuat mangat mboten njepat bad pontang pantgk meh model piy kulo mung manut dalen gusti nentokn mboten ajeng mbat kulo tasih kuat mangat mboten njepat gusti kulo tasih mangat adepi kabeh kulo tasih bakoh amergo kulo seleh mboten ajeng mbat gusti mboten sah kuwatir kulo masih mangat hgga di titik akhir kabeh pancen terbaik nggo aku matur suwun gusti mpun uatk atiku cewa lara duka nang susah bahagia mua ku rasa hgga aku pun berdaya bad pontang pantgk meh model piy kulo mung manut dalen gusti nentokn mboten ajeng mbat kulo tasih kuat mangat mboten njepat matursuwun gusti matursuwun nget mpun pargi ati kuat go banget nompo kasunyat soyo ugal ugal aku mundur aku tetap siap tempur paribas nandur telo isor wet gedang aku kudu lilo ikhlas golek dal padang bokdo mang mang tupat jo lali pyuri nten mbok menawi lepat kawulo nyuwun ampunten bad pontang pantgk meh model piy kulo mung manut dalen gusti nentokn mboten ajeng mbat kulo tasih kuat mangat mboten njepat bad pontang pantgk meh model piy kulo mung manut dalen gusti nentokn mboten ajeng mbat kulo tasih kuat mangat mboten njepat mboten ajeng mbat kulo tasih kuat mangat mboten njepat
Sasya Arkhisna – Kok Iso Yo,tau nekat ku menctaimu malah milih eboti tres liyan ternyata aku dudu siji sij iso yo tegel yo lahku neng endi luputku wong ra piro koyo aku masalah asmoro mung bagi loro tggal lungo ales ra cetho mergo aboti tres anyarmu liyo gusti tulung pargo ati kuat adepi asmoro ugalugal tibo wayah mongso udan teko howo adem featurg loro durung siap nompo nyata sandg wong liyo durung anti garg loron atiku uwis mbok tambahi nyata adepi sliramu iki sandg wong liyo tau nekat ku menctaimu malah milih eboti tres liyan ternyata aku dudu siji sij iso yo tegel yo yo aku masalah asmoro mung bagi loro tggal lungo ales ra cetho mergo aboti tres anyarmu liyo gusti tulung pargo ati kuat adepi asmoro ugalugal tibo wayah mongso udan teko howo adem featurg loro durung siap nompo nyata sandg wong liyo durung anti garg loron atiku uwis mbok tambahi nyata adepi sliramu iki sandg wong liyo tau nekat ku menctaimu malah milih eboti tres liyan ternyata aku dudu siji sij eboti tres liyan ternyata aku dudu siji sij
Vayz Luluk – Ginio,aku kelingan sliramu medot tres gampang uwis lali marang spah seng mbok nggupi janji biyen jaren mbok tepati pancen aku kleru duw luwih ko aku aku lilo nompo tapi atiku ra trimo nyawang sliramu sandg wong liyo kurangku jajal to kow omongo masalah pel ojo gaw dowo tulung jelas neng aku yang pengorbananku iseh kurang aku mbok bandgk wong sugeh kae yo jelas nemen aku ra mampu cukup aku mbok apusi dramamu cukup aku erti elgo rasan atiku matursembahnuwun mpun nat larani kurangku jajal to kow omongo masalah pel ojo gaw dowo tulung jelas neng aku yang pengorbananku iseh kurang aku mbok bandgk wong sugeh kae yo jelas nemen aku ra mampu tulung jelas neng aku yang pengorbananku iseh kurang aku mbok bandgk wong sugeh kae yo jelas nemen aku ra mampu cukup aku mbok apusi dramamu cukup aku erti elgo rasan atiku matursembahnuwun mpun nat larani matursembahnuwun nggal loro ati cerito eneki bakal baleni
Happy Asmara – Dadi Siji (feat. Delva Irawan),pandongaku tek tuwo anti misahk nyowo kangmas aku percoyo ra gampang keno godo bebareng jogo ati ojo asi elarani yo mung siji yo mung tek mati pasrahk kabeh gusti udan sor dadi ksi naliko kabeh lakoni ikhlas ati mugo gusti margi dal pgini dadi siji tek tuo sandg ojo mung iso nggalk nang arepo mengko nyowo uwis ilang lah siji rabakal ono iso ganteni bebareng jogo ati ojo asi elarani yo mung siji yo mung ktekang pati pandongaku tek tuwo anti misahk nyowo kangmas aku percoyo ra gampang keno godo bebareng jogo ati ojo asi elarani yo mung siji yo mung tek mati dadi siji tek tuo sandg ojo mung iso nggalk nang arepo mengko nyowo uwis ilang lah siji ra bakal ono iso ganteni seko aku iso dadi awakdew maturnuwun wis ancani lama temokk kabeh bahagiaku karepk kabeh dadi takdir kabeh dadi dalan
Dike Sabrina – Wes Tatas,elg elg biyen tau omong arep ancani aku tek pungkas urku saikine kow nggal janj ibarat banyu mili tek goro cubo dadi aku kuat po atimu mesti kow mbat kuat aku uwes pengen loro atiku tenang anggep ilang layang tatas tondo tresnoku pungkas mabur duwur alang alang tibo dadi nang kow eman eman nggalk roso lar takdir aku ikhlas aku pasrah alah cubo dadi aku kuat po atimu mesti kow mbat kuat aku uwes pengen loro atiku tenang anggep ilang layang tatas tondo tresnoku pungkas mabur duwur alang alang tibo dadi nang kow eman eman nggalk roso lar takdir aku ikhlas aku pasrah alah layang tatas tondo tresnoku pungkas mabur duwur alang alang tibo dadi nang kow eman eman nggalk roso lar takdir aku ikhlas aku pasrah alah
Happy Asmara – Konco Mesra,wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta sungguh yang aku bisa langsung mengungkapk perasa yang ku simp buat ku tenang ini mua karena hubung perteman kau sudah biasa anggap ku bagai kaw adem panas awakku garagara kamu nyibakk atiku gati menyang aku mpek gowo turu impi usap pipimu tansah nyoto roso konco dadi tres gereges awak ku naliko mepet sliramu mung wang esemmu sebyar nong atiku bgung rasan atiku piy nyikapi biyen konco suwi tresnani wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta sungguh yang aku bisa langsung mengungkapk perasa yang ku simp buat ku tenang ini mua karena hubung perteman kau sudah biasa anggap ku bagai kaw adem panas awakku garagara kamu nyibakk atiku gati menyang aku mpek gowo turu impi usap pipimu tansah nyoto roso konco dadi tres gereges awak ku naliko mepet sliramu mung wang esemmu sebyar nong atiku bgung rasan atiku piy nyikapi biyen konco suwi tresnani wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta
Happy Asmara – 10tang,awakmu ono neng atiku opo tggal awakku ket biyen ko kangeni iki mbok lalekn aku sewu siji ltang benderang mung siji terdah ikulah awakmu tresnani dadi lentero neng atiku wis ilang angenku gon dadekk pendampg awakmu kabeh dah angel lalekk bebareng mandekk wektu sewu siji ltang benderang mung siji terdah ikulah awakmu tresnani dadi lentero neng atiku sewu siji ltang benderang mung siji terdah ikulah awakmu tresnani dadi lentero neng atiku wis ilang angenku gon dadekk pendampg awakmu kabeh dah angel lalekk bebareng mandekk wektu
Vita Alvia – Sadar Posisi,cubo uatk ati nompo kasunyat nady perih rasan aku kudu dar diri mbiyen kow nggal lungo tanpo pamit aku iki we teko arepku mung eterk undang rabimu aku kudu dar posisi ra bakal biso nduweni mergo kow tres malah milih wong liyo mung iso pendem ati roso yang ro tresnoku aku tres kow kow tres liyan remuk atiku nompo layang undang rabimu mbubrahk crito tres marang sliramu gandeng suw jebul aku dudu jodon matur suwun kow tau gaw kisah uripku cubo uatk ati nompo kasunyat nady perih rasan aku kudu dar diri mbiyen kow nggal lungo tanpo pamit aku iki we teko arepku mung eterk undang rabimu aku kudu dar posisi ra bakal biso nduweni mergo kow tres malah milih wong liyo mung iso pendem ati roso yang ro tresnoku aku tres kow kow tres liyan remuk atiku nompo layang undang rabimu mbubrahk crito tres marang sliramu gandeng suw jebul aku dudu jodon matur suwun kow tau gaw kisah uripku remuk atiku nompo layang undang rabimu mbubrahk crito tres marang sliramu gandeng suw jebul aku dudu jodon matur suwun kow tau gaw kisah uripku
Ochi Alvira – Gak Bahaya Ta,gak bahaya ta nggaln luka kau tggalk aku tanpa patah kata gak bahaya ta karma itu pasti ada moga kau bahagia deng yang baru kau cta jan aku lah jan aku kurang tanpo pamit lungo nggal tatu njero dodo iro nyongko roso tresnoku mok bales cidro gio tego po pancen aku mok anggep ra ono mendg aku alih timbang tangis ra uwis uwis berjuang matimati aku tggal tengah dal gak bahaya ta nggaln luka kau tggalk aku tanpa patah kata gak bahaya ta karma itu pasti ada moga kau bahagia deng yang baru kau cta jan aku lah jan aku kurang tanpo pamit lungo nggal tatu njero dodo iro nyongko roso tresnoku mok bales cidro gio tego po pancen aku mok anggep ra ono mendg aku alih timbang tangis ra uwis uwis berjuang matimati aku tggal tengah dal gak bahaya ta nggaln luka kau tggalk aku tanpa patah kata gak bahaya ta karma itu pasti ada moga kau bahagia deng yang baru kau cta gak bahaya ta nggaln luka kau tggalk aku tanpa patah kata gak bahaya ta karma itu pasti ada moga kau bahagia deng yang baru kau cta moga kau bahagia deng yang baru kau cta
Vita Alvia – Cikini Gondangdia,ciki ke gondangdia ku jadi begi garagara dia cikampek tasikmalaya hatiku capek bila kau tia jakarta ke jayapura jang cta kalau cuma purapura madura mpai papua jang kau kira ku bisa mendua walau kau hanya tukang ojek pernah absen meski huj dan becek walau kau hanya supir bajai hatiku nang tiap kali kau belai perca kau jadi pilot mak tggi ctamu mak melorot apalagi kau jadi nahkoda jarang pulang karena kau pcut janda biar pun derhana asalk kau tia aku pun akan lalu cta perca banyak harta di luar kau mendua jang kira ku diam saja ciki ke gondangdia ku jadi begi garagara dia cikampek tasikmalaya hatiku capek bila kau tia jakarta ke jayapura jang cta kalau cuma purapura madura mpai papua jang kau kira ku bisa mendua walau kau hanya tukang ojek pernah absen meski huj dan becek walau kau hanya supir bajai hatiku nang tiap kali kau belai perca kau jadi pilot mak tggi ctamu mak melorot apalagi kau jadi nahkoda jarang pulang karena kau pcut janda biar pun derhana asalk kau tia aku pun akan lalu cta perca banyak harta di luar kau mendua jang kira ku diam saja ciki ke gondangdia ku begi garagara dia cikampek tasikmalaya hatiku capek bila kau tia jakarta ke jayapura jang cta kalau purapura madura mpai papua jang kira ku bisa mendua
GuyonWaton – Rasakno,kedhep moto aku iso lali marang sliramu tau elarani kjembar roso barku ati wis ra bakal iso nompo bali lahmu mbiyen liyo ati ilangk roso percoyo ati anti tek tibo wayah wis ganti getun enggal njaluk bali enggal njaluk bali rangsani aku palg tyo aku palg gemati milih wong liyo aku perduli iki larani siosio mbas erti aku lalu ono lahmu mbiyen lah sopo liyo ati ilangk roso percaya ati anti tek tibo wayah wis ganti getun enggal njaluk bali rangsani aku palg tyo aku palg gemati milih wong liyo aku perduli iki larani siosio mbas erti aku lalu ono rangsani rangsani aku palg tyo aku palg gemati milih wong liyo aku perduli iki larani siosio mbas erti aku lalu ono mbas erti aku lalu ono iki aku huu uuu wis ono
NDX AKA – Ngertenono Ati,aku ra nuntut meneh elarang ras ameh cedak ro kancamu lanang pancen tresnamu ten aku mesti iso mikir bates pergaulanmu cukup ujo cedak sopo wae pesenku siji kabeh ono bates wajar aku ra bakal brontak ndak gur gaw kancanmu rusak cukup aku meneng nyawang penak jelas jelas ku berubah judeg nyawang kow polah hubung genah arep bubar terserah genah nduw gandeng seh gatel golek anyar amnesia ro pasang nek ngene ki yo bajg awal cobo bar polahmu karep soyo suw soyo barbar dol we ndadak nginep ra mungk ra lon spah ku muntab ten pgin larak pedang mikir iso edan cukup ujo cedak sopo wae pesenku siji kabeh ono bates wajar aku ra bakal brontak ndak gur gaw kancanmu rusak cukup aku meneng nyawang penak kow blas berkelas nduw konco cerak gragas mbok nei kod ras ra suw langsung gas aku koman mung kei janji tres ampet amuk bendo pengen epruk ndas kono dasar ra nduw moral nduw awak obral napa harus bal mbok yo sek jual mahal terus terus nakal ku ucap lamat tggal aku kuat mental sorry aku ra nal cukup ujo cedak sopo wae pesenku siji kabeh ono bates wajar aku ra bakal brontak ndak gur gaw kancanmu rusak cukup aku meneng nyawang penak mas lahmu dew ujo aku ro liyan aku keloni kancaku dew puran kangmas suwun atimu ikhlas lilak aku bahagia kancaku cukup ujo cedak sopo wae pesenku siji kabeh ono bates wajar aku ra bakal brontak ndak gur gaw kancanmu rusak cukup aku meneng nyawang penak cukup aku meneng nyawang penak
Happy Asmara – Dalan Gronjal,dal gronjal seng lewati kroso alus mbok kancani padang peteng dal neng gon ram kroso sepi rasan wong loro ati paman neng kene mesti ati bungah rasan lah lahku dew aku nyiaknyiakk loro getun mbur rasan kademen neng gon panas atiku remuk ten mergo lang wong seng palg yang jujur aku pengen iso balik ra pengen bali lpukn remuk remuk ati iso dadi siji koyo wgi janji ra bakal baleni masio banyu goro ono njero dodo tetep iso lunturk tres mergo nyidro rasan kademen neng gon panas atiku remuk ten mergo lang wong seng palg yang jujur aku pengen iso balik ra pengen bali lpukn remuk remuk ati iso dadi siji koyo wgi janji ra bakal baleni masio banyu goro ono njero dodo tetep iso lunturk tres mergo nyidro tetep iso lunturk tres mergo nyidro
Eny Sagita – Full Senyum Sayang,mbok yo full senyum yang aku soyo tambah yang rasah pusg pusg gek ndang dand ayo healg bukan aku peduli tapi pancen kodemu angel pahami omongo wae kabeh anan podo penak upayak kabeh penjalukmu tapi tulung erteni kahananku aku dudu turun balung ged turah warisan ben dino raimu peteng dedet marai sirah met ati tambah ruwet kabeh ra daden ladeni iso geger geden mbok yo full senyum yang aku mangat berjuang ojo nuruti gengsimu jelas jelas aku ndak mampu mbok yo full senyum yang aku soyo tambah yang rasah pusg pusg gek ndang dand ayo healg bukan aku peduli tapi pancen kodemu angel pahami omongo wae kabeh anan podo penak upayak kabeh penjalukmu tapi tulung erteni kahananku aku dudu turun balung ged turah warisan ben dino raimu peteng dedet marai sirah met ati tambah ruwet kabeh ra daden ladeni iso geger geden mbok yo full senyum yang aku mangat berjuang ojo nuruti gengsimu jelas jelas aku ndak mampu oh mbok yo full senyum yang aku soyo tambah yang rasah pusg pusg gek ndang dand ayo healg bukan aku peduli tapi pancen kodemu angel pahami omongo wae kabeh anan podo penak upayak kabeh penjalukmu tapi tulung erteni kahananku aku dudu turun balung ged turah warisan ben dino raimu peteng dedet marai sirah met ati tambah ruwet kabeh ra daden ladeni iso geger geden mbok yo full senyum yang aku mangat berjuang ojo nuruti gengsimu jelas jelas aku ndak mampu mbok yo full senyum yang aku soyo tambah yang rasah pusg pusg gek ndang dand ayo healg mbok yo full senyum yang aku mangat berjuang ojo nuruti gengsimu jelas jelas aku ndak mampu mbok yo full senyum yang aku soyo tambah yang rasah pusg pusg gek ndang dand ayo healg rasah pusg pusg gek ndang dand ayo healg ayo healg
Safira Inema – Teteg Ati,pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani pungkas rembul wengi atiku iseh milih berjuang bertah korb ati perasa sliramu koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk wis rapopo aku salah tapi elgo cen aku lilo dadi payung naliko udan teko mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu naj kow mung nyepelekk ati tetep kuatk spah ati tiyoku mung kow lawas bebareng kow lawas bakal liyakk lawas tetep teteg atine
Prima HP – Damar Opo Lilin,gowo nong endi gaw lendi suwi bebareng nono jelas hang dadi pikir dadi pitakon isun duwen riko terimo konco damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang gowo nong endi gaw lendi suwi bebareng nono jelas hang dadi pikir dadi pitakon isun duwen riko terimo konco damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang
Vicky Prasetyo – Rungkad,tiwas all in tapi endg nyakit rungkad entekentek ono pasti cukup pis ojo anti baleni tatas rungkad mendg pegat iki aku uwes erti atiati pasang seng sok gemati terdeteksi caran elarani main alus terus nikung mburi mpet pancg gaw aku elg aku full yang tegategan aku buang tiwas all in tapi endg nyakit rungkad entekentek ono pasti cukup pis ojo anti baleni tatas rungkad mendg pegat mpet pancg gaw aku elg aku full yang tegategan aku buang tiwas all in tapi endg nyakit rungkad entekentek ono pasti cukup pis ojo anti baleni tatas rungkad mendg pegat tiwas all in tapi endg nyakit rungkad entekentek ono pasti cukup pis ojo anti baleni tatas rungkad mendg pegat tatas rungkad mendg pegat
NDX AKA – Janji Temani,tuh terimakasih telah kirimk malaikat baik perti rya bar adepi geden egoku tenang gelisah walau ku sering bersalah janji temani aku dalam tiap langkah aku pengen urip bareng neng susah genggam erat tang ini mpai menua maturnuwun wis gaw tangisku dadi bahagia siji lawas rabakal ono iso gantek aku is tru lov never die akan lelah aku mengucap syukur karena hadirmu bahagia hidup terukur gelem nompo aku ra anggo kake mbat sering merubah rgkihku dadi kuat matur mbah nuwun ra sel ucapk gaw bungah embuh piy caran buk fatamorgana oh tuh ini nyata terimakasih tuk anugerah yang luar biasa janji temani aku dalam tiap langkah aku pengen urip bareng neng susah genggam erat tang ini mpai menua maturnuwun wis gaw tangisku dadi bahagia siji lawas rabakal ono iso gantek aku is tru lov never die aku yak dek tresnamu kui tulus beng embun yangmu apus apus bar tegar karang gempur ombak laut moga cta takk terpisahk obati piku deng hangat peluk kan ku jam kau terseny tanpa resah madakk langkah pegang tang erat erat perlu gelisah kisah takk tamat janji temani aku dalam tiap langkah aku pengen urip bareng neng susah genggam erat tang ini mpai menua maturnuwun wis gaw tangisku dadi bahagia siji lawas rabakal ono iso gantek aku is tru lov never die genggam erat tang ini mpai menua maturnuwun wis gaw tangisku dadi bahagia siji lawas rabakal ono iso gantek aku is tru lov never die
Evan Loss – Loro Ati Sejak Dini,bgung aku kudu piy ra yang tulung omong wae mung pamit piro abot perih rasakn perih teko mung penasar aku bacut anggo perasa howon soyo adem mripat angel merem selimuti loro ati ra mari mari dongakn mugo mugo hat wae ojo asi loro mengko nek loro aku sopo larani rasah ragu nek meh lungo kono gek ndang mlayu rasah melu melu mikirn atiku bab loro ati terlatih jak dini howon soyo adem mripat angel merem selimuti loro ati ra mari mari dongakn mugo mugo hat wae ojo asi loro mengko nek loro aku sopo larani rasah ragu nek meh lungo kono gek ndang mlayu rasah melu melu mikirn atiku bab loro ati terlatih jak dini bab loro ati aku terlatih jak dini
